cod,lat,lng,intrusion,variation,flag_varia
28001,40.426175000000001,-3.685144000000000,3,91.000000000000000,pos
28002,40.446846399999998,-3.675000500000000,2,7.300000000000000,neg
28003,40.441114599999999,-3.695289600000000,2,12.800000000000001,neg
28004,40.424458500000000,-3.699094800000000,4,8.000000000000000,pos
28005,40.405009399999997,-3.710511800000000,4,14.500000000000000,neg
28006,40.435199599999997,-3.681340000000000,2,4.700000000000000,neg
28007,40.406301300000003,-3.669929500000000,2,1.000000000000000,pos
28008,40.429965199999998,-3.725738600000000,2,44.200000000000003,neg
28009,40.416158799999998,-3.680072000000000,2,42.600000000000001,neg
28010,40.430940000000000,-3.695289600000000,2,20.300000000000001,neg
28011,40.421432000000003,-3.753666300000000,5,29.600000000000001,neg
28012,40.409110599999998,-3.701631700000000,2,19.100000000000001,neg
28013,40.418964500000001,-3.711780600000000,4,1.000000000000000,neg
28014,40.415674699999997,-3.695289600000000,3,15.500000000000000,pos
28015,40.430453600000000,-3.710511800000000,2,39.600000000000001,neg
28016,40.457018499999997,-3.675000500000000,2,33.700000000000003,neg
28017,40.422369000000003,-3.644582000000000,3,14.100000000000000,neg
28018,40.386418200000001,-3.654719500000000,5,29.199999999999999,neg
28019,40.394340200000002,-3.725738600000000,5,25.399999999999999,pos
28020,40.456373300000003,-3.695289600000000,3,14.900000000000000,neg
28021,40.336660100000003,-3.697826400000000,6,6.200000000000000,neg
28022,40.441993799999999,-3.586331300000000,2,29.300000000000001,neg
28023,40.461464800000002,-3.773986900000000,2,3.000000000000000,neg
28024,40.384312700000002,-3.799399200000000,2,43.000000000000000,neg
28025,40.378739000000003,-3.735892400000000,6,4.300000000000000,pos
28026,40.384808300000003,-3.705437300000000,8,35.799999999999997,pos
28027,40.442720299999998,-3.644582000000000,2,27.399999999999999,neg
28028,40.431906200000000,-3.664859000000000,3,11.100000000000000,pos
28029,40.476550099999997,-3.700363200000000,3,6.700000000000000,pos
28030,40.407260200000003,-3.639514100000000,5,14.600000000000000,pos
28031,40.380915600000002,-3.586331300000000,4,35.700000000000003,neg
28032,40.410834299999998,-3.606584800000000,4,0.100000000000000,neg
28033,40.472914600000003,-3.654719500000000,3,4.500000000000000,neg
28034,40.499503699999998,-3.697826400000000,3,1.800000000000000,neg
28035,40.478197100000003,-3.728276900000000,1,40.299999999999997,neg
28036,40.461781700000003,-3.685144000000000,3,14.900000000000000,neg
28037,40.433181099999999,-3.624313300000000,5,9.500000000000000,pos
28038,40.396600900000003,-3.654719500000000,6,29.600000000000001,neg
28039,40.460972200000000,-3.710511800000000,2,13.199999999999999,neg
28040,40.447360799999998,-3.738431100000000,2,35.100000000000001,neg
28041,40.367227600000000,-3.697826400000000,5,28.399999999999999,neg
28042,40.467893199999999,-3.571146600000000,1,30.600000000000001,neg
28043,40.460442100000002,-3.647116200000000,3,27.600000000000001,neg
28044,40.377587800000001,-3.771446400000000,3,32.700000000000003,neg
28045,40.395476400000000,-3.690216600000000,4,4.900000000000000,neg
28046,40.473181799999999,-3.686412100000000,3,6.700000000000000,pos
28047,40.396148900000000,-3.748587400000000,5,36.399999999999999,pos
28049,40.529986600000001,-3.697826400000000,3,20.600000000000001,neg
28050,40.500470999999997,-3.667394200000000,2,26.399999999999999,neg
28051,40.344471700000000,-3.611649400000000,1,17.800000000000001,neg
28052,40.402217399999998,-3.555966500000000,94,124.099999999999994,pos
28053,40.368194199999998,-3.667394200000000,7,28.600000000000001,neg
28100,40.561421199999998,-3.667394200000000,3,18.500000000000000,pos
28108,40.531274600000003,-3.657254200000000,4,24.500000000000000,neg
28109,40.523018700000002,-3.596457000000000,1,0.000000000000000,null
28110,40.607341800000000,-3.495292000000000,2,3.900000000000000,pos
28119,40.595967000000002,-3.535733400000000,11,100.000000000000000,pos
28120,40.615328699999999,-3.566086000000000,8,100.000000000000000,pos
28130,40.633461699999998,-3.470032700000000,1,0.000000000000000,null
28140,40.631628399999997,-3.530676500000000,4,0.000000000000000,null
28150,40.693062400000002,-3.510453700000000,0,0.000000000000000,null
28160,40.734184300000003,-3.490239100000000,3,48.000000000000000,neg
28170,40.759945199999997,-3.475083600000000,40,260.000000000000000,pos
28180,40.813274000000000,-3.550907400000000,2,101.400000000000006,pos
28189,40.875747699999998,-3.490239100000000,5,7.800000000000000,neg
28191,41.036494400000002,-3.510453700000000,6,0.000000000000000,null
28192,40.873900800000001,-3.550907400000000,5,0.000000000000000,null
28193,40.920102700000001,-3.525620000000000,16,8.300000000000001,neg
28200,40.590381999999998,-4.161614300000000,1,37.000000000000000,neg
28210,40.503000700000001,-4.049107700000000,2,0.000000000000000,null
28211,40.545632200000000,-4.136023400000000,33,0.000000000000000,null
28212,40.459457399999998,-4.130906700000000,2,33.299999999999997,neg
28213,40.426370100000000,-4.202585900000000,2,42.200000000000003,neg
28214,40.488114099999997,-4.182096100000000,3,0.000000000000000,null
28219,40.567387699999998,-4.095103800000000,7,0.000000000000000,null
28220,40.473188800000003,-3.880803400000000,0,41.200000000000003,neg
28223,40.424361400000002,-3.819738100000000,2,64.200000000000003,pos
28224,40.445377999999998,-3.799399200000000,2,6.200000000000000,neg
28229,40.495315699999999,-3.977638900000000,2,0.000000000000000,null
28240,40.619908700000003,-3.896081100000000,2,19.800000000000001,neg
28248,40.605591599999997,-3.944490500000000,6,0.000000000000000,null
28250,40.577951100000000,-3.936843900000000,1,23.100000000000001,neg
28260,40.556257199999997,-3.977638900000000,1,25.500000000000000,neg
28270,40.539440999999997,-4.023571800000000,3,0.000000000000000,null
28280,40.593295500000004,-4.079767300000000,2,4.600000000000000,neg
28290,40.538722800000002,-3.896081100000000,2,0.000000000000000,null
28292,40.619190199999998,-4.064435200000000,1,44.100000000000001,neg
28293,40.549053100000002,-4.182096100000000,4,167.199999999999989,pos
28294,40.455008100000001,-4.253845200000000,1,40.899999999999999,pos
28295,40.503924699999999,-4.305154200000000,4,100.000000000000000,pos
28296,40.601676900000001,-4.269232700000000,4,0.000000000000000,null
28300,40.038576999999997,-3.591393900000000,3,5.300000000000000,neg
28311,39.930268200000000,-3.773986900000000,100,100.000000000000000,pos
28320,40.239920099999999,-3.692753100000000,7,8.300000000000001,pos
28330,40.243726400000000,-3.571146600000000,6,0.000000000000000,null
28350,40.140298500000000,-3.611649400000000,3,2.000000000000000,pos
28359,40.147130099999998,-3.555966500000000,3,0.000000000000000,null
28360,40.103091800000001,-3.490239100000000,14,0.000000000000000,null
28370,40.155744100000000,-3.439738600000000,3,35.100000000000001,neg
28380,40.073889999999999,-3.439738600000000,2,36.600000000000001,neg
28390,40.133264699999998,-3.333854700000000,2,9.100000000000000,pos
28391,40.168038600000003,-3.369124100000000,3,7.900000000000000,pos
28400,40.636710399999998,-3.998048500000000,3,28.600000000000001,neg
28410,40.712810300000001,-3.845173100000000,1,0.000000000000000,null
28411,40.663973100000000,-3.941941500000000,1,7.500000000000000,neg
28412,40.695057100000000,-3.921554100000000,1,0.000000000000000,null
28413,40.715654100000002,-3.911363400000000,0,49.100000000000001,neg
28420,40.601746200000001,-3.982740500000000,1,3.800000000000000,neg
28430,40.671650499999998,-4.013361000000000,1,18.000000000000000,neg
28440,40.672944100000002,-4.120674800000000,2,0.000000000000000,null
28450,40.696795700000003,-4.018466100000000,1,0.000000000000000,null
28460,40.719419700000003,-4.095103800000000,2,16.399999999999999,neg
28470,40.731338800000003,-4.043999500000000,3,0.000000000000000,null
28490,40.718456600000003,-3.977638900000000,0,37.799999999999997,neg
28491,40.737288599999999,-4.018466100000000,1,0.000000000000000,null
28492,40.734861299999999,-3.941941500000000,1,4.400000000000000,neg
28500,40.288218100000002,-3.449834600000000,6,23.800000000000001,pos
28510,40.321480500000000,-3.359044600000000,3,46.000000000000000,pos
28511,40.292329400000000,-3.308677800000000,5,123.500000000000000,pos
28512,40.334830300000000,-3.248305800000000,3,0.600000000000000,neg
28514,40.375597200000001,-3.248305800000000,1,35.700000000000003,neg
28521,40.342636100000000,-3.505399300000000,3,0.000000000000000,null
28530,40.226974900000002,-3.449834600000000,3,17.800000000000001,pos
28540,40.229929200000001,-3.348967100000000,8,100.000000000000000,pos
28550,40.236334200000002,-3.303643900000000,9,41.799999999999997,neg
28560,40.253212099999999,-3.248305800000000,4,3.000000000000000,pos
28570,40.289913499999997,-3.213123200000000,3,11.500000000000000,pos
28580,40.336503100000002,-3.188008300000000,7,11.800000000000001,pos
28590,40.160409199999997,-3.278482500000000,3,44.799999999999997,neg
28595,40.134420599999999,-3.107727700000000,8,95.700000000000003,pos
28596,40.236100100000002,-3.127785400000000,5,0.000000000000000,null
28597,40.112329799999998,-3.167925700000000,5,0.000000000000000,null
28598,40.068596300000003,-3.268421500000000,37,437.000000000000000,pos
28600,40.300861300000001,-4.008256300000000,3,3.700000000000000,pos
28607,40.235080799999999,-3.992945300000000,1,7.100000000000000,pos
28609,40.348601199999997,-4.100217000000000,2,0.700000000000000,neg
28610,40.296556799999998,-4.130906700000000,1,100.000000000000000,pos
28620,40.303430499999997,-4.223083600000000,5,100.000000000000000,pos
28630,40.280021900000001,-4.305154200000000,4,7.100000000000000,pos
28640,40.295765699999997,-4.428498500000000,6,354.000000000000000,pos
28649,40.307675400000001,-4.516039600000000,12,100.000000000000000,pos
28650,40.251803799999998,-4.510886200000000,18,0.000000000000000,null
28660,40.412496699999998,-3.870620800000000,0,33.100000000000001,neg
28668,40.399643099999999,-3.836269400000000,5,0.000000000000000,null
28669,40.431480000000001,-3.911363400000000,1,23.500000000000000,pos
28670,40.354264399999998,-3.936843900000000,2,28.600000000000001,neg
28680,40.369027299999999,-4.377070400000000,3,13.400000000000000,neg
28690,40.392903099999998,-3.998048500000000,1,2.600000000000000,pos
28691,40.453950200000001,-3.998048500000000,1,29.300000000000001,neg
28692,40.460609800000000,-3.952138200000000,2,0.000000000000000,null
28693,40.411129000000003,-4.059325500000000,1,31.399999999999999,neg
28694,40.370209600000003,-4.207709500000000,5,0.000000000000000,null
28695,40.383419300000000,-4.264103000000000,3,5.300000000000000,pos
28696,40.355491499999999,-4.330827400000000,1,36.200000000000003,neg
28707,40.614074400000000,-3.606584800000000,1,100.000000000000000,pos
28708,40.586878100000000,-3.583800200000000,8,0.000000000000000,null
28710,40.691205799999999,-3.571146600000000,3,0.200000000000000,pos
28720,40.838177199999997,-3.723200500000000,1,92.500000000000000,pos
28721,40.816289900000001,-3.616714600000000,8,0.000000000000000,null
28722,40.772197700000000,-3.571146600000000,9,0.000000000000000,null
28723,40.750703299999998,-3.611649400000000,1,5.600000000000000,pos
28729,40.824801999999998,-3.667394200000000,2,0.000000000000000,null
28730,40.987564599999999,-3.626846400000000,5,0.000000000000000,null
28737,41.052238699999997,-3.652184900000000,3,7.600000000000000,neg
28739,41.010017400000002,-3.713049300000000,5,100.000000000000000,pos
28740,40.908724999999997,-3.880803400000000,1,0.000000000000000,null
28742,40.967068099999999,-3.794315700000000,7,196.300000000000011,pos
28743,40.908535399999998,-3.733353700000000,6,100.000000000000000,pos
28749,40.925387700000002,-3.834997600000000,2,5.400000000000000,neg
28750,40.684408200000000,-3.626846400000000,1,11.199999999999999,neg
28751,40.872019700000003,-3.611649400000000,3,46.299999999999997,neg
28752,40.911766700000001,-3.631913100000000,12,0.000000000000000,null
28755,41.093766199999997,-3.611649400000000,10,100.000000000000000,pos
28756,41.135250300000003,-3.571146600000000,66,100.000000000000000,pos
28760,40.605637100000003,-3.713049300000000,1,0.400000000000000,pos
28770,40.676282800000003,-3.723200500000000,2,25.800000000000001,neg
28791,40.744857199999998,-3.794315700000000,1,10.500000000000000,pos
28792,40.806210700000001,-3.773986900000000,2,23.699999999999999,pos
28794,40.768380200000003,-3.692753100000000,0,32.299999999999997,neg
28801,40.481642600000001,-3.366604000000000,4,338.600000000000023,pos
28802,40.476117600000002,-3.381726400000000,3,41.899999999999999,neg
28803,40.460418400000002,-3.396853500000000,3,0.000000000000000,null
28804,40.480046899999998,-3.333854700000000,2,35.299999999999997,neg
28805,40.510836900000001,-3.323782400000000,2,12.000000000000000,neg
28806,40.513429500000001,-3.409462900000000,2,21.300000000000001,pos
28807,40.487380700000003,-3.365974000000000,5,0.000000000000000,null
28810,40.434987399999997,-3.308677800000000,2,22.100000000000001,neg
28812,40.418009400000003,-3.188008300000000,4,100.000000000000000,pos
28813,40.393106600000003,-3.348967100000000,4,60.399999999999999,pos
28814,40.552873099999999,-3.449834600000000,1,6.400000000000000,pos
28815,40.635260899999999,-3.409462900000000,0,100.000000000000000,pos
28816,40.595859200000000,-3.369124100000000,1,29.500000000000000,pos
28817,40.518059100000002,-3.248305800000000,3,114.799999999999997,pos
28818,40.457046400000003,-3.248305800000000,4,0.000000000000000,null
28830,40.429052900000002,-3.510453700000000,3,41.600000000000001,neg
28840,40.404670000000003,-3.475083600000000,4,17.899999999999999,pos
28850,40.471567800000003,-3.449834600000000,3,0.000000000000000,null
28860,40.509799399999999,-3.530676500000000,1,3.600000000000000,neg
28861,40.477297999999998,-3.512981100000000,9,0.000000000000000,null
28863,40.566437100000002,-3.505399300000000,1,47.299999999999997,pos
28864,40.531347199999999,-3.490239100000000,3,29.100000000000001,neg
28880,40.556413599999999,-3.328818300000000,1,38.100000000000001,pos
28890,40.391343599999999,-3.409462900000000,4,22.300000000000001,pos
28891,40.369174700000002,-3.470032700000000,1,48.200000000000003,neg
28901,40.284704300000001,-3.728276900000000,9,0.000000000000000,null
28902,40.311433899999997,-3.729546000000000,4,8.000000000000000,pos
28903,40.315623899999999,-3.718124700000000,2,5.600000000000000,pos
28904,40.311188700000002,-3.737161700000000,6,0.000000000000000,null
28905,40.294249299999997,-3.748587400000000,2,11.300000000000001,neg
28906,40.295878700000003,-3.697826400000000,11,8.100000000000000,pos
28909,40.303060500000001,-3.631913100000000,0,74.099999999999994,pos
28911,40.328042799999999,-3.767635900000000,3,33.299999999999997,neg
28912,40.333303899999997,-3.762555600000000,3,37.299999999999997,neg
28913,40.334946700000003,-3.770811300000000,6,30.000000000000000,neg
28914,40.318253599999998,-3.794315700000000,1,27.000000000000000,neg
28915,40.332400200000002,-3.751126800000000,7,11.400000000000000,pos
28916,40.337824200000000,-3.740970000000000,7,0.000000000000000,null
28917,40.356884899999997,-3.781609300000000,3,40.700000000000003,pos
28918,40.344231700000002,-3.779068400000000,4,18.100000000000001,neg
28919,40.356065100000002,-3.728276900000000,4,0.000000000000000,null
28921,40.348973800000003,-3.828638900000000,10,0.000000000000000,null
28922,40.357003100000000,-3.855350700000000,1,13.500000000000000,neg
28923,40.340435300000003,-3.817195300000000,3,48.100000000000001,neg
28924,40.347012999999997,-3.810838800000000,7,0.000000000000000,null
28925,40.395708599999999,-3.841392500000000,2,32.100000000000001,neg
28931,40.324863299999997,-3.864257700000000,5,19.300000000000001,neg
28932,40.332591999999998,-3.861712700000000,9,14.300000000000001,neg
28933,40.333483899999997,-3.873166300000000,2,36.899999999999999,neg
28934,40.319512099999997,-3.871893500000000,8,0.000000000000000,null
28935,40.314192800000001,-3.916458500000000,4,20.800000000000001,neg
28936,40.313945500000003,-3.847717300000000,4,30.600000000000001,neg
28937,40.322484600000003,-3.859167800000000,5,39.299999999999997,neg
28938,40.300778000000001,-3.860440200000000,8,0.000000000000000,null
28939,40.273402599999997,-3.916458500000000,2,0.000000000000000,null
28941,40.295062299999998,-3.801941100000000,5,48.600000000000001,neg
28942,40.301790199999999,-3.829910600000000,4,4.900000000000000,neg
28943,40.284696500000003,-3.807025300000000,9,0.000000000000000,null
28944,40.274828900000003,-3.796857400000000,4,14.600000000000000,neg
28945,40.290627700000002,-3.781609300000000,5,47.799999999999997,neg
28946,40.272859300000000,-3.779068400000000,14,45.700000000000003,pos
28947,40.263645199999999,-3.748587400000000,5,24.899999999999999,neg
28950,40.254365499999999,-3.875711900000000,2,31.000000000000000,neg
28970,40.250784099999997,-3.829910600000000,9,13.300000000000001,pos
28971,40.219823099999999,-3.840085100000000,1,12.400000000000000,neg
28978,40.189182600000002,-3.840085100000000,2,21.500000000000000,pos
28979,40.208256700000000,-3.880803400000000,3,0.000000000000000,null
28990,40.176683500000003,-3.753666300000000,2,0.000000000000000,null
28991,40.200736999999997,-3.799399200000000,2,49.100000000000001,neg
